split,quantity,unit,finite_count,full_mean,full_std,saved_std,full_std_over_saved_std,above_10,above_100,above_1000
train,x,m,8874624,-5.838677165924413e-08,7.133080202890837e-05,1.7232756363227963e-05,4.139256687985055,39586,2531,1
train,y,m,8874624,-4.5977882805769e-08,7.116964335912549e-05,2.2804790205555037e-05,3.120819911852959,29498,1495,1
train,z,m,8874624,1.9741106446383087e-06,0.0001377628826106838,2.2458127205027267e-05,6.13421062909669,28296,2733,45
train,vx,m/s,8874624,-2.4457962982987663e-07,0.0037412567333763515,0.0006672516465187073,5.6069651575921,47555,3022,20
train,vy,m/s,8874624,-6.565651328609281e-08,0.003749347760996648,0.0006949176895432174,5.395383967648263,44967,2732,35
train,vz,m/s,8874624,1.1338877347669824e-06,0.006827624508968743,0.0007129407022148371,9.576707414456624,48353,3717,143
train,rho,kg/m^3,8874624,0.0,0.0,1.0,0.0,0,0,0
train,p11,Pa,8874624,-44.08102315787059,1001.5549498799027,480.3778991699219,2.0849313667647045,35761,320,2
train,p22,Pa,8874624,-43.89258133360545,963.4643766050505,567.6695556640625,1.6972274926351922,27173,189,0
train,p33,Pa,8874624,-34.90120946615165,1687.853166509693,800.021484375,2.1097597995487494,35464,298,2
train,shear12,Pa,8874624,0.04670507012730085,404.34866903279465,383.2951354980469,1.0549277347529893,14741,25,0
train,shear13,Pa,8874624,0.5485059068648102,567.2337297690817,396.12005615234375,1.4319742738573413,22875,94,0
train,shear23,Pa,8874624,-0.08688939598468545,571.8311737827611,319.4881896972656,1.7898350931989244,32693,216,0
train,pc,Pa,8874624,0.0,0.0,1.0,0.0,0,0,0
train,Ev,1,8874624,0.0,0.0,1.0,0.0,0,0,0
train,Sv,1,8874624,0.0,0.0,1.0,0.0,0,0,0
holdout,x,m,0,,,1.7232756363227963e-05,,0,0,0
holdout,y,m,0,,,2.2804790205555037e-05,,0,0,0
holdout,z,m,0,,,2.2458127205027267e-05,,0,0,0
holdout,vx,m/s,0,,,0.0006672516465187073,,0,0,0
holdout,vy,m/s,0,,,0.0006949176895432174,,0,0,0
holdout,vz,m/s,0,,,0.0007129407022148371,,0,0,0
holdout,rho,kg/m^3,0,,,1.0,,0,0,0
holdout,p11,Pa,0,,,480.3778991699219,,0,0,0
holdout,p22,Pa,0,,,567.6695556640625,,0,0,0
holdout,p33,Pa,0,,,800.021484375,,0,0,0
holdout,shear12,Pa,0,,,383.2951354980469,,0,0,0
holdout,shear13,Pa,0,,,396.12005615234375,,0,0,0
holdout,shear23,Pa,0,,,319.4881896972656,,0,0,0
holdout,pc,Pa,0,,,1.0,,0,0,0
holdout,Ev,1,0,,,1.0,,0,0,0
holdout,Sv,1,0,,,1.0,,0,0,0
