tag,split,from_frame,to_frame,particle_id,quantity,unit,before,after,delta,abs_delta_over_saved_std,zero_delta_mse
phi35_c1000,train,8,9,46463,Ev,1,0.0,0.0,0.0,0.0,0.0012137760342596615
phi35_c1000,train,8,9,15486,Ev,1,0.0,0.0,0.0,0.0,0.19909729627659567
phi35_c1000,train,8,9,15487,Ev,1,0.0,0.0,0.0,0.0,0.1827099013090594
phi35_c1000,train,8,9,15485,Ev,1,0.0,0.0,0.0,0.0,0.07178234860540825
phi35_c1000,train,8,9,15489,Ev,1,0.0,0.0,0.0,0.0,0.25875168087580025
phi35_c1000,train,8,9,15493,Ev,1,0.0,0.0,0.0,0.0,0.4780127596731135
phi35_c1000,train,8,9,15491,Ev,1,0.0,0.0,0.0,0.0,0.35771245723467493
phi35_c1000,train,8,9,15492,Ev,1,0.0,0.0,0.0,0.0,0.3468273535763622
phi35_c1000,train,8,9,15490,Ev,1,0.0,0.0,0.0,0.0,0.26887008486512814
phi35_c1000,train,8,9,15488,Ev,1,0.0,0.0,0.0,0.0,0.1716179660501812
phi35_c1000,train,8,9,46463,Sv,1,0.0,0.0,0.0,0.0,0.0012137760342596615
phi35_c1000,train,8,9,15486,Sv,1,0.0,0.0,0.0,0.0,0.19909729627659567
phi35_c1000,train,8,9,15487,Sv,1,0.0,0.0,0.0,0.0,0.1827099013090594
phi35_c1000,train,8,9,15485,Sv,1,0.0,0.0,0.0,0.0,0.07178234860540825
phi35_c1000,train,8,9,15489,Sv,1,0.0,0.0,0.0,0.0,0.25875168087580025
phi35_c1000,train,8,9,15493,Sv,1,0.0,0.0,0.0,0.0,0.4780127596731135
phi35_c1000,train,8,9,15491,Sv,1,0.0,0.0,0.0,0.0,0.35771245723467493
phi35_c1000,train,8,9,15492,Sv,1,0.0,0.0,0.0,0.0,0.3468273535763622
phi35_c1000,train,8,9,15490,Sv,1,0.0,0.0,0.0,0.0,0.26887008486512814
phi35_c1000,train,8,9,15488,Sv,1,0.0,0.0,0.0,0.0,0.1716179660501812
phi35_c1000,train,102,103,28007,all16_zero_delta_mse,normalized_squared,,,,,1262550.8233886587
phi35_c1000,train,128,129,19583,all16_zero_delta_mse,normalized_squared,,,,,1148577.7855104026
phi35_c1000,train,85,86,21767,all16_zero_delta_mse,normalized_squared,,,,,1122908.0823109688
phi35_c1000,train,146,147,23855,all16_zero_delta_mse,normalized_squared,,,,,1041038.7616809702
phi35_c1000,train,117,118,19511,all16_zero_delta_mse,normalized_squared,,,,,1006068.0036137803
phi35_c1000,train,84,85,21767,all16_zero_delta_mse,normalized_squared,,,,,957096.2606489317
phi35_c1000,train,103,104,28007,all16_zero_delta_mse,normalized_squared,,,,,945102.7685877888
