feature,unit,pooled_rmse,final_rmse,final_bias,final_absolute_p95,final_absolute_max
x,m,0.00010344299927642733,0.00017446022021593293,-5.731807264043006e-05,0.0001141988672316074,0.005443200469017029
y,m,0.00014573439753468335,0.00022448641370694224,4.6831290452877705e-05,0.00010915249586105334,0.010516241192817688
z,m,0.0002850089876719406,0.00041503702965162744,-6.708642540014665e-06,0.00014268010854721056,0.04139125347137451
vx,m/s,0.0014293887573203212,0.0015883766505115275,6.770028707408451e-05,0.0006077877103052734,0.08572875708341599
vy,m/s,0.0019803742699526315,0.0018175488193647297,-1.8144455099541034e-05,0.0005708921180485047,0.13825939362868667
vz,m/s,0.0029588797592928293,0.00354347204597222,0.0005802394865102943,0.0013292813528096293,0.29843099787831306
rho,kg/m^3,0.0,0.0,0.0,0.0,0.0
p11,Pa,1167.4281051673404,1702.7338658211156,-1280.328962354099,2336.6724685668937,31309.59375
p22,Pa,1181.4276220024412,1737.6925597116535,-1294.5710406119194,2385.9313919067376,30892.06640625
p33,Pa,1468.3784279183965,1904.2777553674414,260.23892453010325,2355.6966796875,55758.1875
shear12,Pa,316.9992122181397,422.1905152783639,-15.892378941744932,479.3521221160889,22951.12939453125
shear13,Pa,409.48413209777493,550.4189410635141,6.485648439787552,761.4620300292966,14551.00341796875
shear23,Pa,463.47763509206254,613.324776835318,-6.206973688177518,708.8738525390625,27230.373046875
pc,Pa,0.0,0.0,0.0,0.0,0.0
Ev,1,0.0,0.0,0.0,0.0,0.0
Sv,1,0.0,0.0,0.0,0.0,0.0
