selection,particle_id,frame,time_s,true_z_mm,predicted_z_mm,true_vz_mm_s,predicted_vz_mm_s,position_error_mm
Медиана ошибки среди подвижных,27764,101,2.02,421.12401127815247,421.10538482666016,0.7056890171952546,-0.8347975090146065,0.018738469414501236
Медиана ошибки среди подвижных,27764,102,2.04,421.1440086364746,421.09501361846924,0.822529022116214,-0.6923822220414877,0.05080400070514687
Медиана ошибки среди подвижных,27764,103,2.06,421.16400599479675,421.08607292175293,0.747719022911042,-0.5424692644737661,0.08715460910520935
Медиана ошибки среди подвижных,27764,104,2.08,421.17398977279663,421.07945680618286,-0.13284799933899194,-0.38514056359417737,0.12433412930747188
Медиана ошибки среди подвижных,27764,105,2.1,421.17899656295776,421.0744798183441,-0.34005098859779537,-0.2255285216961056,0.16248839491265543
Медиана ошибки среди подвижных,27764,106,2.12,421.1820065975189,421.0726320743561,-0.21352700423449278,-0.058509467635303736,0.20379706902443584
Медиана ошибки среди подвижных,27764,107,2.14,421.1899936199188,421.07412219047546,0.13437599409371614,0.11562037980183959,0.2484587325370742
Медиана ошибки среди подвижных,27764,108,2.16,421.1939871311188,421.07895016670227,0.10883600043598562,0.2962244034279138,0.28681115374493593
Медиана ошибки среди подвижных,27764,109,2.18,421.2009906768799,421.08726501464844,0.7055189926177263,0.48306179814971983,0.32588394639330037
Медиана ошибки среди подвижных,27764,110,2.2,421.2090075016022,421.0992157459259,0.12313299521338195,0.6758185336366296,0.36629005688701555
95-й перцентиль среди подвижных,19702,101,2.02,497.7479875087738,497.89512157440186,14.397799968719482,12.488863430917263,0.2974855243846495
95-й перцентиль среди подвижных,19702,102,2.04,498.08400869369507,498.2505738735199,19.08859983086586,12.965909205377102,0.5595564804149001
95-й перцентиль среди подвижных,19702,103,2.06,498.49799275398254,498.61013889312744,23.792900145053864,13.458771631121635,0.8153514608105615
95-й перцентиль среди подвижных,19702,104,2.08,498.93099069595337,498.9762604236603,25.07999911904335,13.968398794531822,1.108027975194289
95-й перцентиль среди подвижных,19702,105,2.1,499.38899278640747,499.34959411621094,27.229100465774536,14.494059607386589,1.412029037834493
95-й перцентиль среди подвижных,19702,106,2.12,499.9609887599945,499.7307360172272,34.846801310777664,15.036048367619514,1.7105956304869938
95-й перцентиль среди подвижных,19702,107,2.14,500.95802545547485,500.11956691741943,51.81710049510002,15.592998825013638,2.0293259245621513
95-й перцентиль среди подвижных,19702,108,2.16,501.62798166275024,500.51599740982056,22.49329909682274,16.16380363702774,2.3874558331546556
95-й перцентиль среди подвижных,19702,109,2.18,501.97702646255493,500.92053413391113,15.430700033903122,16.749147325754166,2.691609399161451
95-й перцентиль среди подвижных,19702,110,2.2,502.26497650146484,501.3335347175598,14.140699990093708,17.349261790513992,2.98523370176971
Худшая ошибка среди всех частиц,21551,101,2.02,476.9029915332794,474.361389875412,210.09500324726105,97.7436900138855,3.580937475267674
Худшая ошибка среди всех частиц,21551,102,2.04,480.62899708747864,474.7255742549896,199.81099665164948,98.55152666568756,7.21191663765917
Худшая ошибка среди всех частиц,21551,103,2.06,484.0179979801178,475.0955402851105,185.68499386310577,99.36120361089706,10.127231518628397
Худшая ошибка среди всех частиц,21551,104,2.08,487.63200640678406,475.4679501056671,201.0200023651123,100.17013549804688,13.208317108034908
Худшая ошибка среди всех частиц,21551,105,2.1,492.0629858970642,475.8414328098297,322.7419853210449,100.97716003656387,17.073540050630342
Худшая ошибка среди всех частиц,21551,106,2.12,501.0160207748413,476.21551156044006,803.9249777793884,101.78251564502716,25.244512839242407
Худшая ошибка среди всех частиц,21551,107,2.14,512.336015701294,476.58997774124146,308.68399143218994,102.58662700653076,35.757509149572854
Худшая ошибка среди всех частиц,21551,108,2.16,515.9429907798767,476.96492075920105,124.6509999036789,103.39003801345825,39.09261068554999
Худшая ошибка среди всех частиц,21551,109,2.18,517.8210139274597,477.34013199806213,78.04969698190689,104.19341921806335,40.65366319674086
Худшая ошибка среди всех частиц,21551,110,2.2,519.1069841384888,477.71573066711426,57.80189856886864,104.99762743711472,41.600019869952206
